date,ltp,ltq,bid,ask
2022-08-15 08:17:21,1.020395,0,1.02032,1.02047
2022-08-15 08:17:22,1.020335,14,1.02026,1.02041
2022-08-15 08:17:23,1.020335,0,1.02026,1.02041
2022-08-15 08:17:24,1.020315,0,1.02024,1.02039
2022-08-15 08:17:25,1.020295,9,1.02022,1.02037
2022-08-15 08:17:26,1.02029,0,1.02022,1.02036
2022-08-15 08:17:27,1.020335,0,1.02026,1.02041
2022-08-15 08:17:28,1.020325,3,1.02025,1.0204
2022-08-15 08:17:29,1.020335,0,1.02026,1.02041
2022-08-15 08:17:30,1.020315,4,1.02024,1.02039
2022-08-15 08:17:31,1.020315,0,1.02024,1.02039
2022-08-15 08:17:32,1.020375,9,1.0203,1.02045
2022-08-15 08:17:33,1.020375,0,1.0203,1.02045
2022-08-15 08:17:34,1.020365,0,1.02029,1.02044
2022-08-15 08:17:35,1.02039,5,1.02032,1.02046
2022-08-15 08:17:36,1.020395,0,1.02032,1.02047
2022-08-15 08:17:37,1.020405,2,1.02033,1.02048
2022-08-15 08:17:38,1.020405,0,1.02033,1.02048
2022-08-15 08:17:39,1.020375,0,1.0203,1.02045
2022-08-15 08:17:40,1.020385,2,1.02031,1.02046
2022-08-15 08:17:41,1.020375,0,1.0203,1.02045
2022-08-15 08:17:42,1.020395,0,1.02032,1.02047
2022-08-15 08:17:43,1.020375,5,1.0203,1.02045
2022-08-15 08:17:44,1.020385,0,1.02031,1.02046
2022-08-15 08:17:45,1.020365,1,1.02029,1.02044
2022-08-15 08:17:46,1.020365,0,1.02029,1.02044
2022-08-15 08:17:47,1.020395,0,1.02032,1.02047
2022-08-15 08:17:48,1.020455,10,1.02038,1.02053
2022-08-15 08:17:49,1.020475,0,1.0204,1.02055
2022-08-15 08:17:50,1.020495,0,1.02042,1.02057
2022-08-15 08:17:51,1.020475,4,1.0204,1.02055
2022-08-15 08:17:52,1.020485,0,1.02041,1.02056
2022-08-15 08:17:53,1.020455,0,1.02038,1.02053
2022-08-15 08:17:54,1.020525,8,1.02045,1.0206
2022-08-15 08:17:55,1.020515,0,1.02044,1.02059
2022-08-15 08:17:56,1.020475,2,1.0204,1.02055
2022-08-15 08:17:57,1.020455,0,1.02038,1.02053
2022-08-15 08:17:58,1.020465,0,1.02039,1.02054
2022-08-15 08:17:59,1.02045,2,1.02038,1.02052
2022-08-15 08:18:00,1.02045,0,1.02038,1.02052
2022-08-15 08:18:01,1.020505,5,1.02043,1.02058
2022-08-15 08:18:02,1.020505,1,1.02043,1.02058
2022-08-15 08:18:03,1.020515,0,1.02044,1.02059
2022-08-15 08:18:04,1.020515,3,1.02044,1.02059
2022-08-15 08:18:05,1.020475,3,1.0204,1.02055
2022-08-15 08:18:06,1.020465,0,1.02039,1.02054
2022-08-15 08:18:07,1.020465,0,1.02039,1.02054
2022-08-15 08:18:08,1.020455,1,1.02038,1.02053
2022-08-15 08:18:09,1.020465,0,1.02039,1.02054
2022-08-15 08:18:10,1.020465,1,1.02039,1.02054
2022-08-15 08:18:11,1.020485,0,1.02041,1.02056
2022-08-15 08:18:12,1.02049,2,1.02042,1.02056
2022-08-15 08:18:13,1.02049,0,1.02042,1.02056
2022-08-15 08:18:14,1.020475,0,1.0204,1.02055
2022-08-15 08:18:15,1.020475,0,1.0204,1.02055
2022-08-15 08:18:16,1.020475,0,1.0204,1.02055
2022-08-15 08:18:17,1.020475,1,1.0204,1.02055
2022-08-15 08:18:18,1.020475,0,1.0204,1.02055
2022-08-15 08:18:19,1.020475,0,1.0204,1.02055
2022-08-15 08:18:20,1.020455,5,1.02038,1.02053
2022-08-15 08:18:21,1.020455,0,1.02038,1.02053
2022-08-15 08:18:22,1.020455,0,1.02038,1.02053
2022-08-15 08:18:23,1.020475,1,1.0204,1.02055
2022-08-15 08:18:24,1.020455,1,1.02038,1.02053
2022-08-15 08:18:25,1.020455,0,1.02038,1.02053
2022-08-15 08:18:26,1.020455,0,1.02038,1.02053
2022-08-15 08:18:27,1.020475,0,1.0204,1.02055
2022-08-15 08:18:28,1.020455,0,1.02038,1.02053
2022-08-15 08:18:29,1.020485,2,1.02041,1.02056
2022-08-15 08:18:30,1.020465,2,1.02039,1.02054
2022-08-15 08:18:31,1.020455,1,1.02038,1.02053
2022-08-15 08:18:32,1.020455,3,1.02038,1.02053
2022-08-15 08:18:33,1.020455,0,1.02038,1.02053
2022-08-15 08:18:34,1.020465,2,1.02039,1.02054
2022-08-15 08:18:35,1.020465,0,1.02039,1.02054
2022-08-15 08:18:36,1.020475,7,1.0204,1.02055
2022-08-15 08:18:37,1.020485,0,1.02041,1.02056
2022-08-15 08:18:38,1.020465,0,1.02039,1.02054
2022-08-15 08:18:39,1.020475,5,1.0204,1.02055
2022-08-15 08:18:40,1.02049,7,1.02042,1.02056
2022-08-15 08:18:41,1.020515,0,1.02044,1.02059
2022-08-15 08:18:42,1.020495,4,1.02042,1.02057
2022-08-15 08:18:43,1.020485,3,1.02041,1.02056
2022-08-15 08:18:44,1.020475,1,1.0204,1.02055
2022-08-15 08:18:45,1.020505,2,1.02043,1.02058
2022-08-15 08:18:46,1.020595,0,1.02052,1.02067
2022-08-15 08:18:47,1.02071,6,1.02064,1.02078
2022-08-15 08:18:48,1.020715,0,1.02064,1.02079
2022-08-15 08:18:49,1.020685,4,1.02061,1.02076
2022-08-15 08:18:50,1.020645,10,1.02057,1.02072
2022-08-15 08:18:51,1.020645,5,1.02057,1.02072
2022-08-15 08:18:52,1.020655,0,1.02058,1.02073
2022-08-15 08:18:53,1.020665,1,1.02059,1.02074
2022-08-15 08:18:54,1.020635,4,1.02056,1.02071
2022-08-15 08:18:55,1.020635,0,1.02056,1.02071
